Designator,Mid X,Mid Y,Rotation,Layer
C1,30.85,28.5,180.0,top
C10,45.6,37.7,90.0,top
C11,69.95,21.45,0.0,top
C12,40.78,30.1,180.0,top
C13,56.1,43.3,90.0,top
C14,56.1,45.7,270.0,top
C15,69.95,38.5,0.0,top
C16,40.8,31.5,180.0,top
C17,38.7,23.45,90.0,top
C18,52.0,29.0,180.0,top
C19,48.65,34.35,270.0,top
C2,23.0,45.2,270.0,top
C20,46.05,34.35,270.0,top
C21,40.7,27.8,0.0,top
C22,45.7,22.03,90.0,top
C23,49.62,24.65,180.0,top
C26,42.85,22.5,90.0,top
C27,44.55,23.1,90.0,top
C28,47.55,34.35,270.0,top
C29,46.75,22.05,90.0,top
C3,24.7,45.2,90.0,top
C4,56.1,11.0,90.0,top
C5,56.1,13.85,270.0,top
C6,69.95,7.0,0.0,top
C7,56.1,23.5,90.0,top
C8,56.1,28.95,270.0,top
C9,42.9,40.3,180.0,top
D1,70.9,17.6,0.0,top
D2,70.9,36.25,0.0,top
D3,70.65,55.0,0.0,top
D4,14.1,47.1,0.0,top
F1,12.65,43.55,0.0,top
FB1,43.5,24.55,180.0,top
J1,81.55,9.27,90.0,top
J2,81.55,27.995,90.0,top
J3,81.55,46.72,90.0,top
J4,8.37,51.23,270.0,bottom
J5,3.4,31.15,270.0,top
J6,10.02,2.65,90.0,top
J7,4.8,45.3,270.0,top
R1,37.6,48.55,0.0,top
R10,67.6,55.0,0.0,top
R11,64.6,21.45,180.0,top
R12,40.7,33.5,90.0,top
R13,43.0,34.0,180.0,top
R14,61.2,21.45,180.0,top
R15,52.6,25.95,180.0,top
R16,64.5625,36.2625,180.0,top
R17,61.1625,36.2625,180.0,top
R18,38.7,26.8,90.0,top
R2,35.3,46.65,0.0,top
R3,20.05,46.9,270.0,top
R4,18.075,24.1,180.0,top
R5,25.8,24.1,0.0,top
R6,64.6,7.4,180.0,top
R7,68.55,18.3,270.0,top
R8,61.2,7.4,180.0,top
R9,67.8,36.25,0.0,top
U1,33.25,24.05,90.0,top
U2,22.0,34.295,0.0,top
U3,62.0,13.307692,90.0,top
U4,62.0,28.307692,90.0,top
U5,45.7,29.15,180.0,top
U6,62.0,43.307692,90.0,top
Y1,42.9,37.3,90.0,top
